date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:35	27296/27296	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Sep%202018%2019:51:13%20GMT	http://wordpressboss.com/wb/nista-demo/index-image.html	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/index-image.html	(from )
14:23:37	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2015%20Sep%202018%2018:23:35%20GMT	http://wordpressboss.com/robots.txt		(from )
14:23:38	121260/121260	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:52:03%20GMT	http://wordpressboss.com/wb/nista-demo/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/bootstrap/css/bootstrap.min.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:39	31000/31000	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:51:28%20GMT	http://wordpressboss.com/wb/nista-demo/assets/fonts/font-awesome.min.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/fonts/font-awesome.min.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:39	1478/1478	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:52:32%20GMT	http://wordpressboss.com/wb/nista-demo/assets/owlcarousel/css/owl.carousel.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/owlcarousel/css/owl.carousel.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:39	1662/1662	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:52:32%20GMT	http://wordpressboss.com/wb/nista-demo/assets/owlcarousel/css/owl.theme.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/owlcarousel/css/owl.theme.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:40	6951/6951	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:51:20%20GMT	http://wordpressboss.com/wb/nista-demo/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/css/magnific-popup.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:41	54877/54877	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:51:20%20GMT	http://wordpressboss.com/wb/nista-demo/assets/css/animate.min.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/css/animate.min.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:42	2553/2553	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:51:19%20GMT	http://wordpressboss.com/wb/nista-demo/assets/css/effects.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/css/effects.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
14:23:43	20364/20364	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2019:51:21%20GMT	http://wordpressboss.com/wb/nista-demo/assets/css/style.css	C:/My%20Web%20Sites/Studi/wordpressboss.com/wb/nista-demo/assets/css/style.css	(from http://wordpressboss.com/wb/nista-demo/index-image.html)
